ds,y,yhat,sum
2014-01-03,16.448,0.0,16.448
2014-01-04,288.06,0.0,288.06
2014-01-05,19.536,0.0,19.536
2014-01-06,4407.1,0.0,4407.1
2014-01-07,87.15799999999999,0.0,87.15799999999999
2014-01-08,0.0,0.0,0.0
2014-01-09,40.544,0.0,40.544
2014-01-10,54.83,0.0,54.83
2014-01-11,9.94,0.0,9.94
2014-01-12,0.0,0.0,0.0
2014-01-13,3553.795,0.0,3553.795
2014-01-14,61.96,0.0,61.96
2014-01-15,149.95,0.0,149.95
2014-01-16,299.964,0.0,299.964
2014-01-17,0.0,0.0,0.0
2014-01-18,64.864,0.0,64.864
2014-01-19,378.594,0.0,378.594
2014-01-20,2673.87,0.0,2673.87
2014-01-21,25.248,0.0,25.248
2014-01-22,0.0,0.0,0.0
2014-01-23,46.019999999999996,0.0,46.019999999999996
2014-01-24,0.0,0.0,0.0
2014-01-25,0.0,0.0,0.0
2014-01-26,1097.25,0.0,1097.25
2014-01-27,426.67,0.0,426.67
2014-01-28,3.928,0.0,3.928
2014-01-29,0.0,0.0,0.0
2014-01-30,240.5,0.0,240.5
2014-01-31,290.666,0.0,290.666
2014-02-01,468.9,0.0,468.9
2014-02-02,211.64600000000002,0.0,211.64600000000002
2014-02-03,97.11200000000001,0.0,97.11200000000001
2014-02-04,134.38400000000001,0.0,134.38400000000001
2014-02-05,0.0,0.0,0.0
2014-02-06,330.512,0.0,330.512
2014-02-07,180.32,0.0,180.32
2014-02-08,14.56,0.0,14.56
2014-02-09,0.0,0.0,0.0
2014-02-10,0.0,0.0,0.0
2014-02-11,2043.4,0.0,2043.4
2014-02-12,129.568,0.0,129.568
2014-02-13,0.0,0.0,0.0
2014-02-14,576.726,0.0,576.726
2014-02-15,21.36,0.0,21.36
2014-02-16,9.04,0.0,9.04
2014-02-17,54.208,0.0,54.208
2014-02-18,37.784,0.0,37.784
2014-02-19,0.0,0.0,0.0
2014-02-20,95.59,0.0,95.59
2014-02-21,8.85,0.0,8.85
2014-02-22,19.44,0.0,19.44
2014-02-23,11.364,0.0,11.364
2014-02-24,55.672,0.0,55.672
2014-02-25,0.0,0.0,0.0
2014-02-26,0.0,0.0,0.0
2014-02-27,19.456,0.0,19.456
2014-02-28,0.0,0.0,0.0
2014-03-01,2203.151,0.0,2203.151
2014-03-02,202.384,0.0,202.384
2014-03-03,1345.8919999999998,0.0,1345.8919999999998
2014-03-04,370.452,0.0,370.452
2014-03-05,705.562,0.0,705.562
2014-03-06,0.0,0.0,0.0
2014-03-07,1561.062,0.0,1561.062
2014-03-08,0.0,0.0,0.0
2014-03-09,0.0,0.0,0.0
2014-03-10,741.956,0.0,741.956
2014-03-11,918.314,0.0,918.314
2014-03-12,0.0,0.0,0.0
2014-03-13,0.0,0.0,0.0
2014-03-14,2108.55,0.0,2108.55
2014-03-15,370.78200000000004,0.0,370.78200000000004
2014-03-16,471.92,0.0,471.92
2014-03-17,3960.358,0.0,3960.358
2014-03-18,28106.716,0.0,28106.716
2014-03-19,590.762,0.0,590.762
